Text,Class
"Supply Quality China's EXCLUSIVE dimensions at Unbeatable Price.Dear Sir, We are pleased to inform you as one of China's largest export & import sto=ne company-Wanlistone Group, The Group its subsidiaries specialize in the q=uarrying, processing and Sales of dimension stone, slab and tiles and dimen=sion stone products for the building materials sector and specialty markets==2E The Group operations are based in Xiamen, South of China, which is the lar=gest export and import business portals in China where Wanlistone owns and =operates various natural stone deposits with 6,000 square meters through th=e country. In addition to the quarries Wanlistone has a fully automated pro=cessing plant for the processing of the granite and marble and granite prod=ucts. Wanlistone supplies granite in raw block form, granite and marble tile and= strips of varying dimension, memorial materials and specialty products to =both the local but more specifically the export markets. The Group has a full rang of the China natural stone products including Pink color G636, G617, G635, G663, Yellow color, G682,Dark G654, Black G68=",1
over. SidLet me know. Thx.,0
"Dear Friend,Greetings to you.I wish to accost you with a request that would be of immense benefit to both of us. Being an executor of wills, it is possible that we may be tempted to make fortune out of our client's situations, when we cannot help it, or left with no better option. The issue I am presenting to you is a case of my client who willed a fortune to his next-of-kin. It was most unfortunate that he and his next-of-kin died on the same day the 31st October 1999 in an Egyptian airline 990 with other passengers on board. You can confirm this from the website below which was published by BBC WORLD NEWS.WEBSITE.http:/ews.bbc.co.uk/1/hi/world/americas/502503.stm.I am now faced with confusion of who to pass the fortune to.According to the English law, the fortune is supposed to be bequeathed to the government,if nobody comes forward as the next of kin within seven years of the demise of the benefactor of the will. My purpose of contacting you is to seek your acting as the beneficiary of the will, and lay claim to the legacy of $7million, which my deceased client  bequeathed to his next-of-kin. For now, I alone know about his will, as my client had great confidence in me.Everything will be left between you and I. The share would be 25% for you and 75% for me. I would want to give a huge part of my share to the tsunami victims,as this is my primary objective. All I have to do is amend the will or add a codicil to make you the beneficiary to the $7million legacy.Again, I feel that you may apprehensive and consider this amount too big for you to defend. It does not matter, as there are documents to back it up.This is a legacy being passed on to a next-of-kin. As I am not very sure of getting your consent on the issue I prefer not to divulge my full identity so as not to risk being disbarred. The English Bar considers it a breach of the oath of the English Bar. I need not emphasize to you that the sensitivity of this issue need not be toyed with by neglecting its confidentiality. I therefore appeal to you not discuss this request with anybody, even if you decline my request.I look forward to hearing from you soon.Yours trulyStephen Ayling.",1
"MR. CHEUNG PUIHANG SENG BANK LTD.DES VOEUX RD. BRANCH,CENTRAL HONG KONG,HONG KONG. Let me start by introducing myself. I am Mr.Cheung Pui director of operations of the Hang Seng Bank Ltd. I have an urgent business suggestion for you.I honestly apologize and hope I do not cause you much embarrassment by contacting you through this means for a transaction of this magnitude,but this is due to confidentiality and prompt access reposed on this medium.Furthermore,due to this issue on my hands now,it became necesary for me to seek your assistance, and it is imperative for me to know your opinionBefore the U.S and Iraqi war our client Major Fadi Bassem who was with the Iraqi forces and also business man made a numbered fixed deposit for 18 calendar months, with a value of Twenty Four millions Five Hundred Thousand United State Dollars only in my branch. Upon maturity several notice was sent to him, even during the war early this year. Again after the war  another notification was sent and still no response came from him. We later find out that the Major and his family had been killed during the war in bomb blast that hit their home.After further investigation it was also discovered that Major Fadi Basem  did not declare any next of kin in his official papers including the paper work of his bank deposit. And he also confided in me the last time he was at my office that no one except me knew of his deposit in my bank. So, Twenty Four millions Five Hundred Thousand United State Dollars is still lying in my bank and no one will ever come forward to claim it. What bothers me most is that according to the laws of my country at the expiration 5 years the funds will revert to the ownership of the Hong Kong Government if nobody applies to claim the funds. Against this backdrop, my suggestion to you is that I will like you as a foreigner to stand as the next of kin to Major Fadi Basem  so that you will be able to receive his funds. WHAT IS TO BE DONE:I want you to know that I have had everything planned out so that we shall come out successful. I have contacted an attorney that will prepare the necessary document that will back you up as the next of kin to Major Fadi Basem , all that is required from you at this stage is for you to provide me with your Full Names and Address so that the attorney can commence his job. After you have been made the next of kin, the attorney will also file in for claims on your behalf and secure the necessary approval and letter of probate in your favor for the move of the funds to an account that will be provided by you.There is no risk involved at all in the matter as we are going to adopt a legalized method and the attorney will prepare all the necessary documents. Please endeavor to observe utmost discretion in all matters concerning thisissue.Once the funds have been transferred to your nominated bank account we shall share in the ratio of 70% for me, 25% for you and 5% for any expenses incure during the transaction. Should you be interested please send me your full names and current residential address and I will prefer you to reach me via my private box, {che_Pui67@yahoo.com.hk} and finally after that i shall provide you with more details of this operation.Your earliest response to this letter will be appreciated.Kind Regards,Mr Cheung Pui.___________________________________________________________________________Mail envoy� par le service WebMail du Site PHP-Nuke- http://www.forcetacticalarmy.com",1
Not a surprising assessment from Embassy.,0
Monica -Huma Abedin <Huma@clintonemail.com>Tuesday June 29 2010 6:01 AM'hanleymr@state.gov'; HRe:is already is locked for tonite. I am seeing her right before actually.,0
Pis print.H <hrod17@clintonemail.com>Thursday October 8 2009 8:01 PM'JilotyLC@state.gov'Fw: WHI - powder coatingB6,0
Dear Tom--H <hrod17@clintonemail.com>Friday December 11 2009 5:41 PMCould we schedule a call?I have several matters I'd like to discuss w you this weekend and was hoping we can schedule a call. I'm free tonightafter 10; tomorrow btw 8-10am and Sunday btw 8-ham and after 10pm. Do any of those times work for you?And by the way I'm still laughing about the yurt! Hillary,0
Greetings from barrister Robert Williams=2CDear friend=2C I know that my letter will come to you as a surprise=2C b=ased on the fact that we have not been in contact for the first time eit=her in person or by correspondent=2E But I believe that relationship sta=rts just a day=2E My name is barrister Robert Williams I am a British ci=tizen=2C am 42 years old and married with three kid=92s two boys and a g=irl=2E As it will please you to know how I came about your contact=2C I =got your contact from my personal search via internet I was pleased with= such information I gathered about you=2E I summoned the courage to enga=ge you in a business relationship that will be of achievement to both of= us=2E As a matter of urgency and great value my main reason of contacti=ng you today is based on a business transaction that one of my clients w=ho is a senior bank director disclosed to me=2E In order to transfer the= sum of (US=2417=2E5M) seventeen million five hundred thousand united st=ate dollars which was deposited in their bank by some top government off=icials =into any reliable foreign bank account=2E I was mandated to search for a=n honest partner abroad who can work jointly with us to achieve this gre=at opportunity=2E Those funds was deposited in there bank in 2002 by some African top pol=iticians who used their position in their offices to embezzle government= treasury some of those politicians ran away from their country as soon =as new government took over power to avoid probing them for their misapp=ropriation and embezzlement of government funds=2E The new government in= power has ordered for the confiscation of their properties including th=eir bank accounts for their evil operation=2E From my discussions with t=he senior director before contacting you he told me that financial autho=rity will be visiting their bank by next month for investigation however= I was convinced that the deal must be successful and risk free as the f=unds will be transferred secretly to your account without hitch I promis=e not to relate this deal to any other person till I hear from you=2E Be=er in mind that none of us will like to be involved in any kind of busin=ess that will stain or jeopardize his position in the office as we all have names to protect in the society=2E note that all mechan=ism has been mapped out for the actualization of this project=2E =This project will be concluded within 7=5F14 bank working days from the =day we start the process=2E I will give you more details and the next st=ep as soon as I confirm your ability and interest to participant in this= project=2E My assurance to you is that this project will not effect or =harm you as we will provide all the necessary documents that will cover =the transfer to your account=2E What I need from you is to provide an ex=isting bank account or set up a new account were the money will be trans=ferred to in your name considering the source of the funds you are entit=led to 25=25 for your assistance while 70=25 will be for us as the origi=nator of the deal while 5=25 will be kept aside for any expenses that we= may encore on the process of arranging the necessary documents that wil=l help us facilitate the deal =2E Confirm your acceptance to me by=2E Th=anks for your understanding and remain blessed as I wait for your urgent= responds=2EYours sincerely=2CRobert Williams Esq=2E          =,1
FYI. Thanks again for signing the book ---- and I do hope you get royalties from Mongolia! Also thought you would like tosee the attached letter to President Clinton.,0
